County,Office,Candidate,Party,County Total,State Total
Bolivar,Ballot Measure 2,Over Vote,1,1,362
Calhoun,Ballot Measure 2,Over Vote,1,0,362
Carroll,Ballot Measure 2,Over Vote,1,0,362
Chickasaw,Ballot Measure 2,Over Vote,1,5,362
Choctaw,Ballot Measure 2,Over Vote,1,0,362
Claiborne,Ballot Measure 2,Over Vote,1,1,362
Clarke,Ballot Measure 2,Over Vote,1,0,362
Clay,Ballot Measure 2,Over Vote,1,0,362
Coahoma,Ballot Measure 2,Over Vote,1,0,362
Copiah,Ballot Measure 2,Over Vote,1,4,362
Covington,Ballot Measure 2,Over Vote,1,0,362
DeSoto,Ballot Measure 2,Over Vote,1,14,362
Forrest,Ballot Measure 2,Over Vote,1,2,362
Franklin,Ballot Measure 2,Over Vote,1,0,362
George,Ballot Measure 2,Over Vote,1,0,362
Greene,Ballot Measure 2,Over Vote,1,0,362
Grenada,Ballot Measure 2,Over Vote,1,0,362
Hancock,Ballot Measure 2,Over Vote,1,1,362
Harrison,Ballot Measure 2,Over Vote,1,17,362
Hinds,Ballot Measure 2,Over Vote,1,36,362
Holmes,Ballot Measure 2,Over Vote,1,2,362
Humphreys,Ballot Measure 2,Over Vote,1,0,362
Issaquena,Ballot Measure 2,Over Vote,1,0,362
Itawamba,Ballot Measure 2,Over Vote,1,0,362
Jackson,Ballot Measure 2,Over Vote,1,0,362
Jasper,Ballot Measure 2,Over Vote,1,0,362
Jeff Davis,Ballot Measure 2,Over Vote,1,0,362
Jefferson,Ballot Measure 2,Over Vote,1,0,362
Jones,Ballot Measure 2,Over Vote,1,6,362
Kemper,Ballot Measure 2,Over Vote,1,0,362
Lafayette,Ballot Measure 2,Over Vote,1,8,362
Lamar,Ballot Measure 2,Over Vote,1,13,362
Lauderdale,Ballot Measure 2,Over Vote,1,12,362
Lawrence,Ballot Measure 2,Over Vote,1,0,362
Leake,Ballot Measure 2,Over Vote,1,0,362
Lee,Ballot Measure 2,Over Vote,1,10,362
Leflore,Ballot Measure 2,Over Vote,1,0,362
Lincoln,Ballot Measure 2,Over Vote,1,0,362
Lowndes,Ballot Measure 2,Over Vote,1,0,362
Madison,Ballot Measure 2,Over Vote,1,19,362
Marion,Ballot Measure 2,Over Vote,1,1,362
Marshall,Ballot Measure 2,Over Vote,1,0,362
Monroe,Ballot Measure 2,Over Vote,1,0,362
Montgomery,Ballot Measure 2,Over Vote,1,1,362
Neshoba,Ballot Measure 2,Over Vote,1,6,362
Newton,Ballot Measure 2,Over Vote,1,2,362
Noxubee,Ballot Measure 2,Over Vote,1,2,362
Oktibbeha,Ballot Measure 2,Over Vote,1,2,362
Panola,Ballot Measure 2,Over Vote,1,7,362
Pearl River,Ballot Measure 2,Over Vote,1,8,362
Perry,Ballot Measure 2,Over Vote,1,0,362
Pike,Ballot Measure 2,Over Vote,1,0,362
Pontotoc,Ballot Measure 2,Over Vote,1,2,362
Prentiss,Ballot Measure 2,Over Vote,1,0,362
Quitman,Ballot Measure 2,Over Vote,1,2,362
Rankin,Ballot Measure 2,Over Vote,1,104,362
Scott,Ballot Measure 2,Over Vote,1,2,362
Sharkey,Ballot Measure 2,Over Vote,1,1,362
Simpson,Ballot Measure 2,Over Vote,1,0,362
Smith,Ballot Measure 2,Over Vote,1,0,362
Stone,Ballot Measure 2,Over Vote,1,6,362
Sunflower,Ballot Measure 2,Over Vote,1,0,362
Tallahatchie,Ballot Measure 2,Over Vote,1,0,362
Tate,Ballot Measure 2,Over Vote,1,0,362
Tippah,Ballot Measure 2,Over Vote,1,0,362
Tishomingo,Ballot Measure 2,Over Vote,1,0,362
Tunica,Ballot Measure 2,Over Vote,1,0,362
Union,Ballot Measure 2,Over Vote,1,2,362
Walthall,Ballot Measure 2,Over Vote,1,0,362
Warren,Ballot Measure 2,Over Vote,1,0,362
Washington,Ballot Measure 2,Over Vote,1,56,362
Wayne,Ballot Measure 2,Over Vote,1,0,362
Webster,Ballot Measure 2,Over Vote,1,0,362
Wilkinson,Ballot Measure 2,Over Vote,1,0,362
Winston,Ballot Measure 2,Over Vote,1,3,362
Yalobusha,Ballot Measure 2,Over Vote,1,1,362
Yazoo,Ballot Measure 2,Over Vote,1,0,362
Adams,Ballot Measure 2,Under Vote,1,1429,81523
Alcorn,Ballot Measure 2,Under Vote,1,1169,81523
Amite,Ballot Measure 2,Under Vote,1,458,81523
Attala,Ballot Measure 2,Under Vote,1,579,81523
Benton,Ballot Measure 2,Under Vote,1,369,81523
Bolivar,Ballot Measure 2,Under Vote,1,1485,81523
Calhoun,Ballot Measure 2,Under Vote,1,428,81523
Carroll,Ballot Measure 2,Under Vote,1,449,81523
Chickasaw,Ballot Measure 2,Under Vote,1,635,81523
Choctaw,Ballot Measure 2,Under Vote,1,300,81523
Claiborne,Ballot Measure 2,Under Vote,1,247,81523
Clarke,Ballot Measure 2,Under Vote,1,479,81523
Clay,Ballot Measure 2,Under Vote,1,633,81523
Coahoma,Ballot Measure 2,Under Vote,1,745,81523
Copiah,Ballot Measure 2,Under Vote,1,799,81523
Covington,Ballot Measure 2,Under Vote,1,531,81523
DeSoto,Ballot Measure 2,Under Vote,1,4579,81523
Forrest,Ballot Measure 2,Under Vote,1,1777,81523
Franklin,Ballot Measure 2,Under Vote,1,304,81523
George,Ballot Measure 2,Under Vote,1,654,81523
Greene,Ballot Measure 2,Under Vote,1,415,81523
Grenada,Ballot Measure 2,Under Vote,1,630,81523
Hancock,Ballot Measure 2,Under Vote,1,1289,81523
Harrison,Ballot Measure 2,Under Vote,1,4668,81523
Hinds,Ballot Measure 2,Under Vote,1,4347,81523
Holmes,Ballot Measure 2,Under Vote,1,649,81523
Humphreys,Ballot Measure 2,Under Vote,1,274,81523
Issaquena,Ballot Measure 2,Under Vote,1,102,81523
Itawamba,Ballot Measure 2,Under Vote,1,647,81523
Jackson,Ballot Measure 2,Under Vote,1,3361,81523
Jasper,Ballot Measure 2,Under Vote,1,498,81523
Jeff Davis,Ballot Measure 2,Under Vote,1,506,81523
Jefferson,Ballot Measure 2,Under Vote,1,274,81523
Jones,Ballot Measure 2,Under Vote,1,1470,81523
Kemper,Ballot Measure 2,Under Vote,1,354,81523
Lafayette,Ballot Measure 2,Under Vote,1,1286,81523
Lamar,Ballot Measure 2,Under Vote,1,1308,81523
Lauderdale,Ballot Measure 2,Under Vote,1,1913,81523
Lawrence,Ballot Measure 2,Under Vote,1,381,81523
Leake,Ballot Measure 2,Under Vote,1,527,81523
Lee,Ballot Measure 2,Under Vote,1,3281,81523
Leflore,Ballot Measure 2,Under Vote,1,1107,81523
Lincoln,Ballot Measure 2,Under Vote,1,865,81523
Lowndes,Ballot Measure 2,Under Vote,1,1525,81523
Madison,Ballot Measure 2,Under Vote,1,2809,81523
Marion,Ballot Measure 2,Under Vote,1,696,81523
Marshall,Ballot Measure 2,Under Vote,1,1490,81523
Monroe,Ballot Measure 2,Under Vote,1,1177,81523
Montgomery,Ballot Measure 2,Under Vote,1,384,81523
Neshoba,Ballot Measure 2,Under Vote,1,484,81523
Newton,Ballot Measure 2,Under Vote,1,512,81523
Noxubee,Ballot Measure 2,Under Vote,1,717,81523
Oktibbeha,Ballot Measure 2,Under Vote,1,1195,81523
Panola,Ballot Measure 2,Under Vote,1,1078,81523
Pearl River,Ballot Measure 2,Under Vote,1,1620,81523
Perry,Ballot Measure 2,Under Vote,1,382,81523
Pike,Ballot Measure 2,Under Vote,1,959,81523
Pontotoc,Ballot Measure 2,Under Vote,1,965,81523
Prentiss,Ballot Measure 2,Under Vote,1,701,81523
Quitman,Ballot Measure 2,Under Vote,1,381,81523
Rankin,Ballot Measure 2,Under Vote,1,2927,81523
Scott,Ballot Measure 2,Under Vote,1,639,81523
Sharkey,Ballot Measure 2,Under Vote,1,238,81523
Simpson,Ballot Measure 2,Under Vote,1,609,81523
Smith,Ballot Measure 2,Under Vote,1,404,81523
Stone,Ballot Measure 2,Under Vote,1,518,81523
Sunflower,Ballot Measure 2,Under Vote,1,671,81523
Tallahatchie,Ballot Measure 2,Under Vote,1,481,81523
Tate,Ballot Measure 2,Under Vote,1,972,81523
Tippah,Ballot Measure 2,Under Vote,1,634,81523
Tishomingo,Ballot Measure 2,Under Vote,1,634,81523
Tunica,Ballot Measure 2,Under Vote,1,347,81523
Union,Ballot Measure 2,Under Vote,1,829,81523
Walthall,Ballot Measure 2,Under Vote,1,511,81523
Warren,Ballot Measure 2,Under Vote,1,1275,81523
Washington,Ballot Measure 2,Under Vote,1,1450,81523
Wayne,Ballot Measure 2,Under Vote,1,584,81523
Webster,Ballot Measure 2,Under Vote,1,289,81523
Wilkinson,Ballot Measure 2,Under Vote,1,415,81523
Winston,Ballot Measure 2,Under Vote,1,466,81523
Yalobusha,Ballot Measure 2,Under Vote,1,371,81523
Yazoo,Ballot Measure 2,Under Vote,1,983,81523
Adams,Ballot Measure 3,YES,,10450,943918
Alcorn,Ballot Measure 3,YES,,8806,943918
Amite,Ballot Measure 3,YES,,4171,943918
Attala,Ballot Measure 3,YES,,6054,943918
Benton,Ballot Measure 3,YES,,2555,943918
Bolivar,Ballot Measure 3,YES,,11047,943918
Calhoun,Ballot Measure 3,YES,,4270,943918
Carroll,Ballot Measure 3,YES,,3717,943918
Chickasaw,Ballot Measure 3,YES,,5958,943918
Choctaw,Ballot Measure 3,YES,,2948,943918
Claiborne,Ballot Measure 3,YES,,3861,943918
Clarke,Ballot Measure 3,YES,,5176,943918
Clay,Ballot Measure 3,YES,,8035,943918
Coahoma,Ballot Measure 3,YES,,6867,943918
Copiah,Ballot Measure 3,YES,,9435,943918
Covington,Ballot Measure 3,YES,,5901,943918
DeSoto,Ballot Measure 3,YES,,56232,943918
Forrest,Ballot Measure 3,YES,,22942,943918
Franklin,Ballot Measure 3,YES,,2779,943918
George,Ballot Measure 3,YES,,5281,943918
Greene,Ballot Measure 3,YES,,2637,943918
Grenada,Ballot Measure 3,YES,,8053,943918
Hancock,Ballot Measure 3,YES,,13015,943918
Harrison,Ballot Measure 3,YES,,55018,943918
Hinds,Ballot Measure 3,YES,,88643,943918
Holmes,Ballot Measure 3,YES,,6822,943918
Humphreys,Ballot Measure 3,YES,,3365,943918
Issaquena,Ballot Measure 3,YES,,463,943918
Itawamba,Ballot Measure 3,YES,,6190,943918
Jackson,Ballot Measure 3,YES,,36716,943918
Jasper,Ballot Measure 3,YES,,5847,943918
Jeff Davis,Ballot Measure 3,YES,,4639,943918
Jefferson,Ballot Measure 3,YES,,3332,943918
Jones,Ballot Measure 3,YES,,17777,943918
Kemper,Ballot Measure 3,YES,,3551,943918
Lafayette,Ballot Measure 3,YES,,18559,943918
Lamar,Ballot Measure 3,YES,,19140,943918
Lauderdale,Ballot Measure 3,YES,,22921,943918
Lawrence,Ballot Measure 3,YES,,4033,943918
Leake,Ballot Measure 3,YES,,6208,943918
Lee,Ballot Measure 3,YES,,27263,943918
Leflore,Ballot Measure 3,YES,,9139,943918
Lincoln,Ballot Measure 3,YES,,10805,943918
Lowndes,Ballot Measure 3,YES,,21871,943918
Madison,Ballot Measure 3,YES,,47116,943918
Marion,Ballot Measure 3,YES,,7428,943918
Marshall,Ballot Measure 3,YES,,11061,943918
Monroe,Ballot Measure 3,YES,,11661,943918
Montgomery,Ballot Measure 3,YES,,3617,943918
Neshoba,Ballot Measure 3,YES,,7839,943918
Newton,Ballot Measure 3,YES,,6554,943918
Noxubee,Ballot Measure 3,YES,,4378,943918
Oktibbeha,Ballot Measure 3,YES,,16592,943918
Panola,Ballot Measure 3,YES,,11420,943918
Pearl River,Ballot Measure 3,YES,,13684,943918
Perry,Ballot Measure 3,YES,,2977,943918
Pike,Ballot Measure 3,YES,,12952,943918
Pontotoc,Ballot Measure 3,YES,,8712,943918
Prentiss,Ballot Measure 3,YES,,6479,943918
Quitman,Ballot Measure 3,YES,,2477,943918
Rankin,Ballot Measure 3,YES,,51249,943918
Scott,Ballot Measure 3,YES,,7464,943918
Sharkey,Ballot Measure 3,YES,,1728,943918
Simpson,Ballot Measure 3,YES,,7566,943918
Smith,Ballot Measure 3,YES,,4594,943918
Stone,Ballot Measure 3,YES,,4772,943918
Sunflower,Ballot Measure 3,YES,,7753,943918
Tallahatchie,Ballot Measure 3,YES,,4075,943918
Tate,Ballot Measure 3,YES,,8627,943918
Tippah,Ballot Measure 3,YES,,5788,943918
Tishomingo,Ballot Measure 3,YES,,4782,943918
Tunica,Ballot Measure 3,YES,,2862,943918
Union,Ballot Measure 3,YES,,7804,943918
Walthall,Ballot Measure 3,YES,,4740,943918
Warren,Ballot Measure 3,YES,,16022,943918
Washington,Ballot Measure 3,YES,,14753,943918
Wayne,Ballot Measure 3,YES,,6077,943918
Webster,Ballot Measure 3,YES,,3449,943918
Wilkinson,Ballot Measure 3,YES,,2875,943918
Winston,Ballot Measure 3,YES,,7043,943918
Yalobusha,Ballot Measure 3,YES,,4664,943918
Yazoo,Ballot Measure 3,YES,,7792,943918
Adams,Ballot Measure 3,NO,,2898,349522
Alcorn,Ballot Measure 3,NO,,6694,349522
Amite,Ballot Measure 3,NO,,2889,349522
Attala,Ballot Measure 3,NO,,2663,349522
Benton,Ballot Measure 3,NO,,1598,349522
Bolivar,Ballot Measure 3,NO,,2217,349522
Calhoun,Ballot Measure 3,NO,,2240,349522
Carroll,Ballot Measure 3,NO,,1905,349522
Chickasaw,Ballot Measure 3,NO,,2070,349522
Choctaw,Ballot Measure 3,NO,,1196,349522
Claiborne,Ballot Measure 3,NO,,564,349522
Clarke,Ballot Measure 3,NO,,3072,349522
Clay,Ballot Measure 3,NO,,2053,349522
Coahoma,Ballot Measure 3,NO,,1385,349522
Copiah,Ballot Measure 3,NO,,3279,349522
Covington,Ballot Measure 3,NO,,3364,349522
DeSoto,Ballot Measure 3,NO,,18519,349522
Forrest,Ballot Measure 3,NO,,8416,349522
Franklin,Ballot Measure 3,NO,,1613,349522
George,Ballot Measure 3,NO,,5583,349522
Greene,Ballot Measure 3,NO,,3052,349522
Grenada,Ballot Measure 3,NO,,2687,349522
Hancock,Ballot Measure 3,NO,,7655,349522
Harrison,Ballot Measure 3,NO,,18974,349522
Hinds,Ballot Measure 3,NO,,10907,349522
Holmes,Ballot Measure 3,NO,,1030,349522
Humphreys,Ballot Measure 3,NO,,701,349522
Issaquena,Ballot Measure 3,NO,,185,349522
Itawamba,Ballot Measure 3,NO,,4477,349522
Jackson,Ballot Measure 3,NO,,17050,349522
Jasper,Ballot Measure 3,NO,,2778,349522
Jeff Davis,Ballot Measure 3,NO,,1462,349522
Jefferson,Ballot Measure 3,NO,,504,349522
Jones,Ballot Measure 3,NO,,11931,349522
Kemper,Ballot Measure 3,NO,,1092,349522
Lafayette,Ballot Measure 3,NO,,4520,349522
Lamar,Ballot Measure 3,NO,,9132,349522
Lauderdale,Ballot Measure 3,NO,,7797,349522
Lawrence,Ballot Measure 3,NO,,2492,349522
Leake,Ballot Measure 3,NO,,2869,349522
Lee,Ballot Measure 3,NO,,8720,349522
Leflore,Ballot Measure 3,NO,,1482,349522
Lincoln,Ballot Measure 3,NO,,5849,349522
Lowndes,Ballot Measure 3,NO,,5069,349522
Madison,Ballot Measure 3,NO,,8683,349522
Marion,Ballot Measure 3,NO,,4632,349522
Marshall,Ballot Measure 3,NO,,4158,349522
Monroe,Ballot Measure 3,NO,,5410,349522
Montgomery,Ballot Measure 3,NO,,1383,349522
Neshoba,Ballot Measure 3,NO,,3729,349522
Newton,Ballot Measure 3,NO,,3481,349522
Noxubee,Ballot Measure 3,NO,,718,349522
Oktibbeha,Ballot Measure 3,NO,,2990,349522
Panola,Ballot Measure 3,NO,,3849,349522
Pearl River,Ballot Measure 3,NO,,9763,349522
Perry,Ballot Measure 3,NO,,2849,349522
Pike,Ballot Measure 3,NO,,4193,349522
Pontotoc,Ballot Measure 3,NO,,5438,349522
Prentiss,Ballot Measure 3,NO,,4051,349522
Quitman,Ballot Measure 3,NO,,606,349522
Rankin,Ballot Measure 3,NO,,18866,349522
Scott,Ballot Measure 3,NO,,3134,349522
Sharkey,Ballot Measure 3,NO,,378,349522
Simpson,Ballot Measure 3,NO,,4130,349522
Smith,Ballot Measure 3,NO,,3644,349522
Stone,Ballot Measure 3,NO,,2973,349522
Sunflower,Ballot Measure 3,NO,,1679,349522
Tallahatchie,Ballot Measure 3,NO,,1501,349522
Tate,Ballot Measure 3,NO,,4150,349522
Tippah,Ballot Measure 3,NO,,4093,349522
Tishomingo,Ballot Measure 3,NO,,4177,349522
Tunica,Ballot Measure 3,NO,,592,349522
Union,Ballot Measure 3,NO,,4738,349522
Walthall,Ballot Measure 3,NO,,2206,349522
Warren,Ballot Measure 3,NO,,4692,349522
Washington,Ballot Measure 3,NO,,2914,349522
Wayne,Ballot Measure 3,NO,,3866,349522
Webster,Ballot Measure 3,NO,,1883,349522
Wilkinson,Ballot Measure 3,NO,,1046,349522
Winston,Ballot Measure 3,NO,,2111,349522
Yalobusha,Ballot Measure 3,NO,,1771,349522
Yazoo,Ballot Measure 3,NO,,2412,349522
Adams,Ballot Measure 3,Over Vote,1,0,282
Alcorn,Ballot Measure 3,Over Vote,1,1,282
Amite,Ballot Measure 3,Over Vote,1,2,282
Attala,Ballot Measure 3,Over Vote,1,16,282
Benton,Ballot Measure 3,Over Vote,1,0,282
Bolivar,Ballot Measure 3,Over Vote,1,1,282
Calhoun,Ballot Measure 3,Over Vote,1,0,282
Carroll,Ballot Measure 3,Over Vote,1,1,282
Chickasaw,Ballot Measure 3,Over Vote,1,1,282
Choctaw,Ballot Measure 3,Over Vote,1,0,282
Claiborne,Ballot Measure 3,Over Vote,1,1,282
Clarke,Ballot Measure 3,Over Vote,1,0,282
Clay,Ballot Measure 3,Over Vote,1,1,282
Coahoma,Ballot Measure 3,Over Vote,1,1,282
Copiah,Ballot Measure 3,Over Vote,1,1,282
Covington,Ballot Measure 3,Over Vote,1,0,282
DeSoto,Ballot Measure 3,Over Vote,1,7,282
Forrest,Ballot Measure 3,Over Vote,1,4,282
Franklin,Ballot Measure 3,Over Vote,1,0,282
George,Ballot Measure 3,Over Vote,1,0,282
Greene,Ballot Measure 3,Over Vote,1,0,282
Grenada,Ballot Measure 3,Over Vote,1,1,282
Hancock,Ballot Measure 3,Over Vote,1,1,282
Harrison,Ballot Measure 3,Over Vote,1,25,282
Hinds,Ballot Measure 3,Over Vote,1,29,282
Holmes,Ballot Measure 3,Over Vote,1,4,282
Humphreys,Ballot Measure 3,Over Vote,1,0,282
Issaquena,Ballot Measure 3,Over Vote,1,0,282
Itawamba,Ballot Measure 3,Over Vote,1,0,282
Jackson,Ballot Measure 3,Over Vote,1,0,282
Jasper,Ballot Measure 3,Over Vote,1,0,282
Jeff Davis,Ballot Measure 3,Over Vote,1,0,282
Jefferson,Ballot Measure 3,Over Vote,1,11,282
Jones,Ballot Measure 3,Over Vote,1,2,282
Kemper,Ballot Measure 3,Over Vote,1,1,282
Lafayette,Ballot Measure 3,Over Vote,1,6,282
Lamar,Ballot Measure 3,Over Vote,1,3,282
Lauderdale,Ballot Measure 3,Over Vote,1,11,282
Lawrence,Ballot Measure 3,Over Vote,1,0,282
Leake,Ballot Measure 3,Over Vote,1,1,282
Lee,Ballot Measure 3,Over Vote,1,8,282
Leflore,Ballot Measure 3,Over Vote,1,1,282
Lincoln,Ballot Measure 3,Over Vote,1,0,282
Lowndes,Ballot Measure 3,Over Vote,1,0,282
Madison,Ballot Measure 3,Over Vote,1,19,282
Marion,Ballot Measure 3,Over Vote,1,8,282
Marshall,Ballot Measure 3,Over Vote,1,0,282
Monroe,Ballot Measure 3,Over Vote,1,3,282
Montgomery,Ballot Measure 3,Over Vote,1,0,282
Neshoba,Ballot Measure 3,Over Vote,1,1,282
Newton,Ballot Measure 3,Over Vote,1,3,282
Noxubee,Ballot Measure 3,Over Vote,1,0,282
Oktibbeha,Ballot Measure 3,Over Vote,1,2,282
Panola,Ballot Measure 3,Over Vote,1,5,282
Pearl River,Ballot Measure 3,Over Vote,1,1,282
Perry,Ballot Measure 3,Over Vote,1,0,282
Pike,Ballot Measure 3,Over Vote,1,0,282
Pontotoc,Ballot Measure 3,Over Vote,1,1,282
Prentiss,Ballot Measure 3,Over Vote,1,1,282
Quitman,Ballot Measure 3,Over Vote,1,2,282
Rankin,Ballot Measure 3,Over Vote,1,68,282
Scott,Ballot Measure 3,Over Vote,1,2,282
Sharkey,Ballot Measure 3,Over Vote,1,3,282
Simpson,Ballot Measure 3,Over Vote,1,0,282
Smith,Ballot Measure 3,Over Vote,1,0,282
Stone,Ballot Measure 3,Over Vote,1,7,282
Sunflower,Ballot Measure 3,Over Vote,1,0,282
Tallahatchie,Ballot Measure 3,Over Vote,1,0,282
Tate,Ballot Measure 3,Over Vote,1,0,282
Tippah,Ballot Measure 3,Over Vote,1,0,282
Tishomingo,Ballot Measure 3,Over Vote,1,1,282
Tunica,Ballot Measure 3,Over Vote,1,1,282
Union,Ballot Measure 3,Over Vote,1,0,282
Walthall,Ballot Measure 3,Over Vote,1,0,282
Warren,Ballot Measure 3,Over Vote,1,0,282
Washington,Ballot Measure 3,Over Vote,1,8,282
Wayne,Ballot Measure 3,Over Vote,1,0,282
Webster,Ballot Measure 3,Over Vote,1,0,282
Wilkinson,Ballot Measure 3,Over Vote,1,1,282
Winston,Ballot Measure 3,Over Vote,1,1,282
Yalobusha,Ballot Measure 3,Over Vote,1,3,282
Yazoo,Ballot Measure 3,Over Vote,1,0,282
Adams,Ballot Measure 3,Under Vote,1,510,30327
Alcorn,Ballot Measure 3,Under Vote,1,397,30327
Amite,Ballot Measure 3,Under Vote,1,197,30327
Attala,Ballot Measure 3,Under Vote,1,195,30327
Benton,Ballot Measure 3,Under Vote,1,182,30327
Bolivar,Ballot Measure 3,Under Vote,1,611,30327
Calhoun,Ballot Measure 3,Under Vote,1,132,30327
Carroll,Ballot Measure 3,Under Vote,1,143,30327
Chickasaw,Ballot Measure 3,Under Vote,1,223,30327
Choctaw,Ballot Measure 3,Under Vote,1,120,30327
Claiborne,Ballot Measure 3,Under Vote,1,89,30327
Clarke,Ballot Measure 3,Under Vote,1,150,30327
Clay,Ballot Measure 3,Under Vote,1,248,30327
Coahoma,Ballot Measure 3,Under Vote,1,315,30327
Copiah,Ballot Measure 3,Under Vote,1,320,30327
Covington,Ballot Measure 3,Under Vote,1,202,30327
DeSoto,Ballot Measure 3,Under Vote,1,1878,30327
Forrest,Ballot Measure 3,Under Vote,1,534,30327
Franklin,Ballot Measure 3,Under Vote,1,95,30327
George,Ballot Measure 3,Under Vote,1,225,30327
Greene,Ballot Measure 3,Under Vote,1,172,30327
Grenada,Ballot Measure 3,Under Vote,1,261,30327
Hancock,Ballot Measure 3,Under Vote,1,402,30327
Harrison,Ballot Measure 3,Under Vote,1,2245,30327
Hinds,Ballot Measure 3,Under Vote,1,1365,30327
Holmes,Ballot Measure 3,Under Vote,1,327,30327
Humphreys,Ballot Measure 3,Under Vote,1,139,30327
Issaquena,Ballot Measure 3,Under Vote,1,40,30327
Itawamba,Ballot Measure 3,Under Vote,1,190,30327
Jackson,Ballot Measure 3,Under Vote,1,1140,30327
Jasper,Ballot Measure 3,Under Vote,1,162,30327
Jeff Davis,Ballot Measure 3,Under Vote,1,165,30327
Jefferson,Ballot Measure 3,Under Vote,1,104,30327
Jones,Ballot Measure 3,Under Vote,1,526,30327
Kemper,Ballot Measure 3,Under Vote,1,138,30327
Lafayette,Ballot Measure 3,Under Vote,1,530,30327
Lamar,Ballot Measure 3,Under Vote,1,392,30327
Lauderdale,Ballot Measure 3,Under Vote,1,730,30327
Lawrence,Ballot Measure 3,Under Vote,1,114,30327
Leake,Ballot Measure 3,Under Vote,1,195,30327
Lee,Ballot Measure 3,Under Vote,1,1190,30327
Leflore,Ballot Measure 3,Under Vote,1,383,30327
Lincoln,Ballot Measure 3,Under Vote,1,284,30327
Lowndes,Ballot Measure 3,Under Vote,1,469,30327
Madison,Ballot Measure 3,Under Vote,1,959,30327
Marion,Ballot Measure 3,Under Vote,1,192,30327
Marshall,Ballot Measure 3,Under Vote,1,692,30327
Monroe,Ballot Measure 3,Under Vote,1,352,30327
Montgomery,Ballot Measure 3,Under Vote,1,135,30327
Neshoba,Ballot Measure 3,Under Vote,1,219,30327
Newton,Ballot Measure 3,Under Vote,1,223,30327
Noxubee,Ballot Measure 3,Under Vote,1,310,30327
Oktibbeha,Ballot Measure 3,Under Vote,1,345,30327
Panola,Ballot Measure 3,Under Vote,1,563,30327
Pearl River,Ballot Measure 3,Under Vote,1,716,30327
Perry,Ballot Measure 3,Under Vote,1,133,30327
Pike,Ballot Measure 3,Under Vote,1,312,30327
Pontotoc,Ballot Measure 3,Under Vote,1,297,30327
Prentiss,Ballot Measure 3,Under Vote,1,199,30327
Quitman,Ballot Measure 3,Under Vote,1,195,30327
Rankin,Ballot Measure 3,Under Vote,1,929,30327
Scott,Ballot Measure 3,Under Vote,1,220,30327
Sharkey,Ballot Measure 3,Under Vote,1,90,30327
Simpson,Ballot Measure 3,Under Vote,1,207,30327
Smith,Ballot Measure 3,Under Vote,1,119,30327
Stone,Ballot Measure 3,Under Vote,1,189,30327
Sunflower,Ballot Measure 3,Under Vote,1,312,30327
Tallahatchie,Ballot Measure 3,Under Vote,1,164,30327
Tate,Ballot Measure 3,Under Vote,1,409,30327
Tippah,Ballot Measure 3,Under Vote,1,265,30327
Tishomingo,Ballot Measure 3,Under Vote,1,234,30327
